uid,sector,country,year,risk_scenario,total_emissions_tonnes,emissions_abated,price_of_carbon,carbon_cost_total_usd,carbon_cost_avoided_usd,abated_tonnes_cost
C012,Consumer Discretionary,Brazil,2025,Medium Risk,20200000,0,26.0863157894737,526943578.95,0.0,0.0
C012,Consumer Discretionary,Brazil,2025,High Risk,20200000,0,27.946578947368835,564520894.74,0.0,0.0
C012,Consumer Discretionary,Brazil,2026,Low Risk,20187756,122440,26.07894736842104,526475426.21,3193106.32,3193106.32
C012,Consumer Discretionary,Brazil,2026,Medium Risk,20187756,122440,28.3878947368421,573087892.3,3475813.83,3475813.83
C012,Consumer Discretionary,Brazil,2026,High Risk,20187756,122440,32.519473684211334,656495199.99,3981684.36,3981684.36
C012,Consumer Discretionary,Brazil,2027,Low Risk,20175513,122430,26.589736842105367,536461581.32,3255381.48,3255381.48
C012,Consumer Discretionary,Brazil,2027,Medium Risk,20175513,122430,30.689473684210498,619175875.28,3757312.26,3757312.26
C012,Consumer Discretionary,Brazil,2027,High Risk,20175513,122430,37.092368421053834,748357561.28,4541218.67,4541218.67
C012,Consumer Discretionary,Brazil,2028,Low Risk,20163269,122440,27.100526315789466,546435202.15,3318188.44,3318188.44
C012,Consumer Discretionary,Brazil,2028,Medium Risk,20163269,122440,32.991052631578896,665207468.8,4039424.48,4039424.48
C012,Consumer Discretionary,Brazil,2028,High Risk,20163269,122440,41.665263157894515,840107909.01,5101494.82,5101494.82
C012,Consumer Discretionary,Brazil,2029,Low Risk,20151026,122430,27.611315789473792,556396342.37,3380453.39,3380453.39
C012,Consumer Discretionary,Brazil,2029,Medium Risk,20151026,122430,35.2926315789482,711182736.56,4320876.88,4320876.88
C012,Consumer Discretionary,Brazil,2029,High Risk,20151026,122430,46.238157894737014,931746321.93,5660937.67,5660937.67
C012,Consumer Discretionary,Brazil,2030,Low Risk,20138782,122440,28.12210526315789,566344947.28,3443270.57,3443270.57
C012,Consumer Discretionary,Brazil,2030,Medium Risk,20138782,122440,37.5942105263166,757101610.25,4603035.14,4603035.14
C012,Consumer Discretionary,Brazil,2030,High Risk,20138782,122440,50.811052631579514,1023272712.14,6221305.28,6221305.28
C012,Consumer Discretionary,Brazil,2031,Low Risk,20126538,122440,28.632894736842218,576281043.97,3505811.63,3505811.63
C012,Consumer Discretionary,Brazil,2031,Medium Risk,20126538,122440,39.895789473685,802964122.88,4884840.46,4884840.46
C012,Consumer Discretionary,Brazil,2031,High Risk,20126538,122440,55.383947368422014,1114687121.3,6781210.52,6781210.52
C012,Consumer Discretionary,Brazil,2032,Low Risk,20114295,122430,29.143684210526317,586204661.6,3568061.26,3568061.26
C012,Consumer Discretionary,Brazil,2032,Medium Risk,20114295,122430,42.1973684210534,848770316.64,5166223.82,5166223.82
C012,Consumer Discretionary,Brazil,2032,High Risk,20114295,122430,59.956842105262695,1205989609.37,7340516.18,7340516.18
C012,Consumer Discretionary,Brazil,2033,Low Risk,20102051,122440,29.654473684210643,596115742.38,3630893.76,3630893.76
C012,Consumer Discretionary,Brazil,2033,Medium Risk,20102051,122440,44.498947368421796,894520109.45,5448451.12,5448451.12
C012,Consumer Discretionary,Brazil,2033,High Risk,20102051,122440,64.5297368421052,1297180061.02,7901020.98,7901020.98
C012,Consumer Discretionary,Brazil,2034,Low Risk,20089808,122430,30.165263157894742,606014345.11,3693133.17,3693133.17
C012,Consumer Discretionary,Brazil,2034,Medium Risk,20089808,122430,46.800526315790194,940213587.98,5729788.44,5729788.44
C012,Consumer Discretionary,Brazil,2034,High Risk,20089808,122430,69.1026315789477,1388258600.72,8460235.18,8460235.18
C012,Consumer Discretionary,Brazil,2035,Low Risk,20077564,122440,30.67605263157907,615900409.98,3755975.88,3755975.88
C012,Consumer Discretionary,Brazil,2035,Medium Risk,20077564,122440,49.10210526315859,985850660.96,6012061.77,6012061.77
C012,Consumer Discretionary,Brazil,2035,High Risk,20077564,122440,73.6755263157902,1479225094.84,9020831.44,9020831.44
C012,Consumer Discretionary,Brazil,2036,Low Risk,20065320,122440,31.186842105263167,625773966.63,3818516.95,3818516.95
C012,Consumer Discretionary,Brazil,2036,Medium Risk,20065320,122440,51.40368421052699,1031431372.86,6293867.09,6293867.09
C012,Consumer Discretionary,Brazil,2036,High Risk,20065320,122440,78.2484210526327,1570079607.92,9580736.67,9580736.67
C012,Consumer Discretionary,Brazil,2037,Low Risk,20053077,122430,31.697631578947494,635635046.77,3880741.03,3880741.03
C012,Consumer Discretionary,Brazil,2037,Medium Risk,20053077,122430,53.70526315789539,1076955777.41,6575135.37,6575135.37
C012,Consumer Discretionary,Brazil,2037,High Risk,20053077,122430,82.82131578947337,1660822222.77,10139813.69,10139813.69
C012,Consumer Discretionary,Brazil,2038,Low Risk,20040833,122440,32.20842105263159,645483587.51,3943599.07,3943599.07
C012,Consumer Discretionary,Brazil,2038,Medium Risk,20040833,122440,56.006842105263786,1122423769.49,6857477.75,6857477.75
C012,Consumer Discretionary,Brazil,2038,High Risk,20040833,122440,87.39421052631587,1751452778.32,10700547.14,10700547.14
C012,Consumer Discretionary,Brazil,2039,Low Risk,20028590,122430,32.71921052631592,655319652.76,4005812.94,4005812.94
C012,Consumer Discretionary,Brazil,2039,Medium Risk,20028590,122430,58.308421052632184,1167835458.81,7138699.99,7138699.99
C012,Consumer Discretionary,Brazil,2039,High Risk,20028590,122430,91.96710526315837,1841971444.8,11259532.7,11259532.7
C012,Consumer Discretionary,Brazil,2040,Low Risk,20016346,122440,33.23000000000002,665143177.58,4068681.2,4068681.2
C012,Consumer Discretionary,Brazil,2040,Medium Risk,20016346,122440,60.61000000000058,1213190731.06,7421088.4,7421088.4
C012,Consumer Discretionary,Brazil,2040,High Risk,20016346,122440,96.54000000000087,1932378042.84,11820357.6,11820357.6
C012,Consumer Discretionary,Brazil,2041,Low Risk,20004102,122440,33.740789473684345,674954194.19,4131222.26,4131222.26
C012,Consumer Discretionary,Brazil,2041,Medium Risk,20004102,122440,62.91157894736898,1258489642.24,7702893.73,7702893.73
C012,Consumer Discretionary,Brazil,2041,High Risk,20004102,122440,101.11289473684337,2022672659.83,12380262.83,12380262.83
C012,Consumer Discretionary,Brazil,2042,Low Risk,19991859,122430,34.25157894736844,684752736.84,4193420.81,4193420.81
C012,Consumer Discretionary,Brazil,2042,Medium Risk,19991859,122430,65.21315789473738,1303732257.58,7984046.92,7984046.92
C012,Consumer Discretionary,Brazil,2042,High Risk,19991859,122430,105.68578947368405,2112855401.46,12939111.21,12939111.21
C012,Consumer Discretionary,Brazil,2043,Low Risk,19979615,122440,34.76236842105277,694538737.54,4256304.39,4256304.39
C012,Consumer Discretionary,Brazil,2043,Medium Risk,19979615,122440,67.51473684210578,1348918448.93,8266504.38,8266504.38
C012,Consumer Discretionary,Brazil,2043,High Risk,19979615,122440,110.25868421052655,2202926060.93,13500073.29,13500073.29
C012,Consumer Discretionary,Brazil,2044,Low Risk,19967372,122430,35.27315789473687,704312265.3,4318492.72,4318492.72
C012,Consumer Discretionary,Brazil,2044,Medium Risk,19967372,122430,69.81631578947417,1394048349.04,8547611.54,8547611.54
C012,Consumer Discretionary,Brazil,2044,High Risk,19967372,122430,114.83157894736905,2292884854.19,14058830.21,14058830.21
C012,Consumer Discretionary,Brazil,2045,Low Risk,19955128,122440,35.783947368421195,714073250.08,4381386.52,4381386.52
C012,Consumer Discretionary,Brazil,2045,Medium Risk,19955128,122440,72.11789473684257,1439121820.56,8830115.03,8830115.03
C012,Consumer Discretionary,Brazil,2045,High Risk,19955128,122440,119.40447368421155,2382731556.14,14619883.76,14619883.76
C012,Consumer Discretionary,Brazil,2046,Low Risk,19942884,122440,36.294736842105294,723821726.65,4443927.58,4443927.58
C012,Consumer Discretionary,Brazil,2046,Medium Risk,19942884,122440,74.41947368421097,1484138931.03,9111920.36,9111920.36
C012,Consumer Discretionary,Brazil,2046,High Risk,19942884,122440,123.97736842105223,2472466277.05,15179788.99,15179788.99
C012,Consumer Discretionary,Brazil,2047,Low Risk,19930641,122430,36.80552631578962,733557731.82,4506100.59,4506100.59
C012,Consumer Discretionary,Brazil,2047,Medium Risk,19930641,122430,76.72105263157937,1529099757.14,9392958.47,9392958.47
C012,Consumer Discretionary,Brazil,2047,High Risk,19930641,122430,128.55026315789473,2562089145.46,15738408.72,15738408.72
